query_id,query,domain,name,summary,production_rank,retrieved_rank,bucket,duplicate_count,is_boilerplate
1,software companies,larasrl.net,LARA Srl,"LARA Srl is an IT solutions provider founded at the turn of the millennium, blending the extensive experience of its senior staff in management software for commerce and industry with the latest development technologies from junior members. The company focuses on web integration, logistics, and production process control, offering comprehensive hardware, software, and networking support for small to large industries. They operate with distinct workgroups on Unix-Linux and Windows platforms to ensure integrated, stable, and secure applications.",46,5653.0,far_miss_5000_10000,1,False
1,software companies,vantagepoint.co.nz,VantagePoint Solutions Ltd,"VantagePoint Solutions specializes in developing innovative software solutions for various industries including agriculture, meat processing, social services, and financial services. They offer both off-the-shelf and custom software, including desktop, mobile, and integrated web applications, aiming to add measurable value to small and medium-sized businesses. Their goal is to provide versatile, user-friendly software that meets current needs and supports future growth, leveraging the latest Microsoft technologies.",981,6979.0,far_miss_5000_10000,1,False
1,software companies,koei-system.co.jp,岡栄システム有限会社,"岡栄システム有限会社 is a software development company specializing in business systems and tool applications. They aim to propose new lifestyles through solid technology and free thinking. The company's website provides information about their services, company profile, and recruitment.",998,3911.0,mid_miss_2000_5000,1,False
1,software companies,egsa.at,EGSA GmbH,"EGSA GmbH specializes in providing individual software solutions for small and medium-sized businesses. Their goal is to optimize daily operational organization and manage business processes effectively. They offer both custom programming for reliable applications and affordable standard software packages, with a 30-day free trial available.",129,3788.0,mid_miss_2000_5000,1,False
1,software companies,biznes-partner.eu,IT Biznes-Partner,"IT Biznes-Partner is an experienced software producer and integrator of dedicated solutions for businesses in manufacturing, trade, gastronomy, hospitality, and the broader service sector. They offer comprehensive IT solutions, including custom software development, integration of existing systems, hardware solutions, and technical consulting and service. The company focuses on analyzing business processes to maximize efficiency and profitability for their clients.",435,3890.0,mid_miss_2000_5000,1,False
1,software companies,rel-soft.com,Wolfgang Trenkle Hardware and Software Development,"Wolfgang Trenkle Hardware and Software Development offers consulting and development services for businesses, specializing in systems/network consulting, telecommunication solutions, and enterprise-wide project management. They provide custom applications for measurement, control, visualization, and management, with a focus on warehouse and transport logistics. The company also develops and integrates hardware and software solutions for various platforms, including SAP and Oracle, and supports legacy software investments.",521,3658.0,mid_miss_2000_5000,1,False
1,software companies,mnp-szoftverhaz.hu,MNP-Szoftverház Kft,"MNP-Szoftverház Kft develops, distributes, and supports business management software called 'Mindennap' since 2013. Their applications provide efficient solutions for daily administrative, financial, and accounting tasks, primarily serving the commercial and financial sectors. They focus on customizable software tailored to client needs, offering comprehensive services from needs assessment to ongoing support and development.",907,6434.0,far_miss_5000_10000,1,False
1,software companies,mdssoluzionidigitali.net,MDSstore di Massimo Schembri,"MDSstore, operated by Massimo Schembri, is a sole proprietorship offering custom software development and web design services. They specialize in creating tailored business management software, multimedia applications, static and dynamic websites, and web applications. The company caters to a diverse range of clients, from small businesses to larger enterprises, focusing on both development and graphic design aspects.",698,7611.0,far_miss_5000_10000,1,False
1,software companies,gelicon.biz,Геликон Про,"Геликон Про is an IT company specializing in the development of custom software solutions and complex websites. They offer services such as website development, custom software creation, mobile app development, and IT consulting. Their solutions aim to automate business processes, improve efficiency, and enhance online presence for clients across various industries, including utilities and public services.",630,4332.0,mid_miss_2000_5000,1,False
1,software companies,landing.vip,浙江万朋数智科技股份有限公司,"浙江万朋数智科技股份有限公司, also known as Wanpeng Digital Intelligence Technology, provides software solutions including the 'Lan Ding' client which supports Windows, MacOS, iOS, and Android. Their offerings include features for transaction management, new 'Ding Yi Xia' functions, and a meeting system. The company focuses on developing and distributing digital tools for business operations and communication.",51,,not_found_beyond_10000,1,False
