#,name,domain,summary,address,country,state,region,municipality,district,employee_class,organization_type,organization_size,company_register_date,company_register_court,nace_code,summary_keywords,lat,lon
1,Shimba Technologies Ltd,shimbamobile.com,"Shimba Technologies Ltd is an award-winning software solutions provider founded in 2008, specializing in designing and building innovative mobile and cloud-based software solutions. They offer services including Android development, web development, UI/UX design, and database management, aiming to streamline operations and provide value for money to SMEs and larger companies. The company prides itself on its dynamic team of experts and a commitment to quality and client satisfaction.",Muthangari RD MCK Building Nairobi Nairobi Area  Kenya,Kenya,,,,,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, mobile development, cloud solutions, web development, UI/UX design, database management, Android development, software provider, technology, innovation",,
2,Summer Region Sdn Bhd,summerregion.com,"Summer Region is an enterprise solutions provider specializing in custom-built software solutions for clients of various business sizes. They offer a range of services including software development, and likely consulting, to meet diverse client needs. The company operates within the technology and software development sector.","95-2 Jalan Mega Mendung 58200 Kuala Lumpur, Federal Territory  Malaysia",Malaysia,Kuala Lumpur,Kuala Lumpur,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, enterprise solutions, custom software, software development, IT services, technology, business solutions, consulting, software provider, client services",3.078451,101.665245
3,"Centricity Technologies, Inc.",centricitytech.com,"Centricity Technologies, Inc. is a software development company that partners with businesses to leverage their expertise in software to enhance business operations. They offer services focused on understanding client needs and translating them into effective software solutions. The company aims to maximize the potential of both business knowledge and technological capabilities.",,United States,Arkansas,Washington,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, business optimization, custom software, IT consulting, software engineering, digital transformation, tech partnership, application development, client-focused solutions",36.070236,-94.159584
4,Sphereline s.r.o.,sphereline.com,"Sphereline is a software company specializing in mobile, web, and cloud solutions. They offer a range of software development services to clients. The company has been operating since at least 2014.",Rajhradska 3069/17 19300 Praha 9  Czechia,Czechia,Prague,Praha 20,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, mobile solutions, web solutions, cloud solutions, software company, technology, IT services",50.113632,14.632445
5,Software Solutions,softsolutions.com,"Software Solutions is a company that provides software solutions, as indicated by its name and the ""Software Solutions"" heading. The website lists contact information including a PO Box, phone number, and email address, suggesting it is an established entity offering services in the software sector. Further details about specific products or services are not provided.",Po Box 919 98596-0919 Winlock  United States,United States,,,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software, solutions, technology, software development, IT services, business solutions, software provider, computer software, information technology, digital solutions",,
6,Slim Sumo,slimsumo.com,"Slim Sumo is a software development company comprised of engineers focused on delivering top-tier IT solutions. They specialize in creating custom, bug-free applications tailored to automate business processes and help companies advance to the next stage of their growth. Their mission is to act as a dedicated software provider, allowing clients to concentrate on core business operations while Slim Sumo handles technological automation.",44 Bute Road IG6 1AF Ilford  United Kingdom,United Kingdom,England,Greater London,Fullwell,Redbridge,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, business automation, custom applications, software provider, engineering, tailor-made software, software lifecycle, tech solutions, business growth",51.590805,0.0796279
7,Desarrollo de Software Luján,lujansoft.com,"Desarrollo de Software Luján is a company specializing in the development of software and applications. They offer technology solutions and services, with a focus on custom software creation. The company is located in Torreón, Coahuila de Zaragoza, Mexico.",526 E Main St 08807-3221 Bridgewater  United States,United States,New Jersey,Somerset,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, application development, technology solutions, custom software, software services, IT consulting, web development, mobile apps, software engineering, digital solutions",40.559814,-74.55171
8,Exebit,exebit.fi,"Exebit is a software development company that offers unique solutions using the latest technologies. They specialize in creating performance-critical applications and cutting-edge web services, ensuring their code is clean, simple, and up-to-date. The company aims to provide tailored solutions to meet specific client needs and encourages potential clients to reach out via email for inquiries.",Jamerantaival 7 C 372 02150 Espoo  Finland,Finland,Southern Finland,Uusimaa,Espoo,Helsinki,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web services, application development, technology solutions, custom software, IT services, performance critical, innovative solutions, code quality, client tailored",60.189365,24.837246
9,Bitnikcode Oy,bitnik.fi,"Bitnikcode Oy is a company specializing in software development and consulting services. They offer expertise in creating software solutions and providing technical guidance to clients. The company operates within the technology sector, focusing on delivering value through its development and advisory capabilities.",Pl 304 121.0 Helsinki  Finland,Finland,Southern Finland,Uusimaa,Vantaa,Helsinki,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, consulting, technology, software solutions, IT services, development, technical consulting, software engineering, digital solutions, business technology",60.283253,24.830702
10,Pecan Creek Software,pecancreeksoftware.com,"Pecan Creek Software is a software development company with over 30 years of experience creating reliable, scalable, and secure software solutions. They offer a wide range of services, from basic websites to mobile and full-stack web applications, utilizing various technologies. The company focuses on delivering high-quality, configurable, and scalable software that exceeds client expectations, backed by exceptional customer service.",7685 Ameswood Rd 77095-3301 Houston  United States,United States,,,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web applications, mobile applications, business automation, information management, scalable software, custom software, digital transformation, technology partner, software solutions",,
