query_id,query,domain,name,summary,production_rank,retrieved_rank,bucket,duplicate_count,is_boilerplate
61,warehousing companies,northridgeselfstorage.ca,Elite Self Storage,"Elite Self Storage appears to be a company offering self-storage solutions. The directory listing indicates a subdirectory named 'eliteselfstorage', suggesting this is the primary business focus. Further details about their services, locations, or mission are not available from this index.",39,,not_found_beyond_10000,1,False
61,warehousing companies,lotra.ru,АО «ЛОТРА»,"АО «ЛОТРА» is a company providing comprehensive warehouse and logistics services. They offer responsible storage for various goods, including automotive vehicles, on their 14-hectare site which features warm and cold storage facilities, open paved areas, and office space. The company also engages in long-term rental of open spaces for businesses like car dealerships and construction material storage, as well as offering hangar and commercial space rentals.",45,,not_found_beyond_10000,1,False
63,retail technology companies,xarevision.pt,Xarevision,"Xarevision is a technology company specializing in innovative retail solutions, including software and hardware. They develop AI-powered mobile apps, voice assistant integrations, digital signage, queue management systems, and analytics platforms. Founded in 2006, Xarevision aims to provide tailored-made products and has experience managing large digital networks in Portugal.",13,,not_found_beyond_10000,1,False
61,warehousing companies,stadsbudsmagasin1.com,Magasinering,"Magasinering offers storage solutions for individuals and businesses, providing space for daily to long-term needs. They specialize in warehousing, including secure wooden boxes of 4 and 8 cubic meters for personal belongings and pallet storage for bulkier items. The company also assists with moving services to and from storage facilities, emphasizing competitive pricing, high service levels, and confidentiality.",44,7685.0,far_miss_5000_10000,1,False
33,social media marketing agencies,eyelikeit.nl,Eye Like It,"Eye Like It offers online support services including social media management, website development, graphic design, and email campaigns. They aim to assist businesses with their digital presence and marketing efforts. The company highlights its team members and showcases a portfolio of clients.",41,7432.0,far_miss_5000_10000,1,False
96,building materials suppliers,gbigroep.nl,GBI Groep,"GBI Groep is a Dutch organization that provides products and expert advice for projects of all sizes. With over 25 locations, they emphasize combining the right products with professional guidance. The group also highlights its commitment to quality, reliable service, and expert advice, and is actively recruiting new talent.",23,7160.0,far_miss_5000_10000,1,False
61,warehousing companies,dixiestorage.com,Delta One Family of Companies,"The Delta One Family of Companies, originating from a glass shop in 1946, has expanded into a diversified group offering third-party logistics, warehouse storage, trucking, property development and management, self-storage, and sign shop services. They provide a range of warehousing solutions including food-grade and climate-controlled options, alongside trucking services for various load types. The company also manages properties, offers self-storage units, and operates a sign shop, positioning itself as a comprehensive service provider in South Louisiana.",27,7043.0,far_miss_5000_10000,1,False
96,building materials suppliers,probin.com,GBI Groep,"GBI Groep is a Dutch organization that provides products and expert advice for projects of all sizes. With over 25 locations, they emphasize combining the right products with professional guidance. The group also highlights its commitment to quality, reliable service, and expert advice, and is actively recruiting new talent.",25,6844.0,far_miss_5000_10000,1,False
1,software companies,itraxsolutions.co.za,iTrax Solutions,"iTrax Solutions is a developer and supplier of specialized software solutions with applications in manufacturing, packaging, warehousing, logistics, and asset tracking. They focus on leveraging modern technologies to deliver high-performance, user-friendly software for industries including chemical, pharmaceutical, food and beverage, banking, and retail. Their product offerings include Labelling Solutions and Service Delivery Solutions, aiming to provide clients with stable, robust, and scalable technology investments.",41,6692.0,far_miss_5000_10000,1,False
56,defense contractors,karil.com,Karil International,"Karil International is a company with over 25 years of experience specializing in providing optimal solutions to military forces, HLS agencies, and system integrators. They act as representatives for manufacturers, helping brand leaders understand market dynamics and achieve their goals. Karil focuses on developing and protecting brands in the local market, capturing opportunities, and ensuring customer success through pre-sale and after-sale support, bridging the gap between operational requirements and technology with practical, high-readiness solutions.",31,6220.0,far_miss_5000_10000,1,False
1,software companies,pmberjaya.com,PT. Pundi Mas Berjaya,"PT. Pundi Mas Berjaya is a global software solutions provider established in 2014, specializing in developing and implementing IT solutions for various industries including property, automotive, transportation, food delivery, and e-commerce. They offer services such as responsive websites, mobile websites, and mobile applications, with a focus on quality management, project management, and infrastructure needs to ensure customer satisfaction. The company operates with both on-site and off-site development models and has a portfolio across Indonesia and Southeast Asia.",30,6081.0,far_miss_5000_10000,1,False
28,digital transformation consultants,kontrakter.dk,NoA Ignite,"NoA Ignite is a tech and design powerhouse that transforms complexity into effortless user journeys, unlocks data with AI, and streamlines operations. They partner with leaders across various industries, including retail, manufacturing, finance, and government, to build digital products, experiences, and AI tools that connect with customers and drive business performance. Their expertise lies in strategy, design, and technology integration, enabling clients to scale smarter and move faster.",37,6021.0,far_miss_5000_10000,8,True
28,digital transformation consultants,noaignite.com,NoA Ignite,"NoA Ignite is a tech and design powerhouse that transforms complexity into effortless user journeys, unlocks data with AI, and streamlines operations. They partner with leaders across various industries, including retail, manufacturing, finance, and government, to build digital products, experiences, and AI tools that connect with customers and drive business performance. Their expertise lies in strategy, design, and technology integration, enabling clients to scale smarter and move faster.",34,5735.0,far_miss_5000_10000,8,True
28,digital transformation consultants,noaignite.no,NoA Ignite,"NoA Ignite is a tech and design powerhouse that transforms complexity into effortless user journeys, unlocks data with AI, and streamlines operations. They partner with leaders across various industries, including retail, manufacturing, finance, and government, to build digital products, experiences, and AI tools that connect with customers and drive business performance. Their expertise lies in strategy, design, and technology integration, enabling clients to scale smarter and move faster.",33,5734.0,far_miss_5000_10000,8,True
1,software companies,larasrl.net,LARA Srl,"LARA Srl is an IT solutions provider founded at the turn of the millennium, blending the extensive experience of its senior staff in management software for commerce and industry with the latest development technologies from junior members. The company focuses on web integration, logistics, and production process control, offering comprehensive hardware, software, and networking support for small to large industries. They operate with distinct workgroups on Unix-Linux and Windows platforms to ensure integrated, stable, and secure applications.",46,5653.0,far_miss_5000_10000,1,False
