query_id,query,domain,name,country,state,nace_code,summary,openai_label,claude_label,your_label
99,vertical farming companies,leguony.com,河南乐果农业科技有限公司,China,,"NACE A: Agriculture, forestry and fishing","Henan Leguo Agricultural Technology Co., Ltd., established in 1990, specializes in the research, development, production, OEM, and project cooperation of hydroponic solutions. They offer a comprehensive range of hydroponic systems and greenhouse solutions for various crops, aiming to provide efficient and flexible cultivation methods for both home and commercial use. The company positions itself as an expert in hydroponic soilless cultivation, emphasizing their technical expertise and industry experience.",1,2,2
66,customer relationship management (CRM) software,myclientglobal.com,MyClientGlobal.com Limited,New Zealand,Canterbury,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","MyClient offers a comprehensive backup monitoring and CRM tool designed to supercharge computer backup businesses. It unifies various business systems, including customer management, reseller portals, infrastructure monitoring, and billing, into a single platform. The tool aims to automate tasks, improve reporting, enhance customer support, and empower resellers, ultimately driving business growth.",1,2,2
15,logistics companies in the US,borenlogistics.com,Boren Logistics Ltd.,Canada,Ontario,NACE H: Transportation and storage,"Boren Logistics Ltd. is a customer-driven company offering domestic and international freight transportation services. They focus on providing affordable, high-quality logistics solutions tailored to business specifications, aiming for complete customer satisfaction and exceeding expectations. The company positions itself as a trusted and experienced provider in the freight delivery industry.",0,1,1
99,vertical farming companies,poltermannfarms.com,Poltermann Farms,United States,,"NACE A: Agriculture, forestry and fishing","Poltermann Farms is a family-owned, multi-generational farming operation committed to sustainable agriculture. They grow corn and soybeans using conservation practices and operate a hog farm focused on animal welfare and nutrient management. A key aspect of their operation is recycling over 15 million pounds of food waste annually into animal feed, reducing landfill waste and supporting responsible livestock nutrition.",1,0,0
99,vertical farming companies,thunderstrucksales.com,Thunderstruck™ Ag,United Kingdom,England,NACE C: Manufacturing,"Thunderstruck™ Ag provides advanced agricultural solutions, including planting, harvesting, and fertilizer/grain handling equipment. They also offer specialized skidsteer and loader attachments, and leverage AI-driven insights for crop management. The company aims to improve grain quality and reduce harvest loss for farmers.",1,0,0
27,biotech companies,gmo-research.jp,"GMO Research & AI, Inc.",Japan,Tokyo,"NACE N: Professional, scientific and technical activities","GMO Research & AI is a company specializing in market research and marketing solutions, leveraging a large panel network and advanced technology. They offer services including internet research, global research, self-service surveys, and marketing solutions, primarily focusing on Japan and Asia. The company aims to provide new value in the market research industry and operates several media platforms.",1,0,0
99,vertical farming companies,eliteagsolutions.com,Elite Ag Solutions,United States,California,NACE G: Wholesale and retail trade,"Elite Ag Solutions is a precision agriculture dealer based in Northeast Indiana, specializing in providing technology solutions for farmers. They offer a range of products from leading brands like AgLeader, Precision Planting, and Trimble, alongside their own RTK GPS network, to help growers improve efficiency and profitability. With over 30 years of experience, their mission is to guide farmers in implementing the right technology for maximized yields and protected investments, offering comprehensive sales, setup, and support services.",1,0,0
99,vertical farming companies,wegrowfoods.com,We Grow LLC,United States,Arizona,"NACE A: Agriculture, forestry and fishing","We Grow LLC is a produce farm in northern Taylor County, Wisconsin, specializing in organic, non-GMO vegetables grown using Community Supported Agricultural (CSA) principles. They also offer pasture-raised heritage breed pork and broiler chickens seasonally. The farm emphasizes sustainable growing practices, community engagement, and providing fresh, local food to its members and the wider community through various sales channels including farmers markets and an online store.",1,0,0
12,manufacturing in Baden-Württemberg,niederle.de,Niederle GmbH,Germany,Baden-Württemberg,NACE G: Wholesale and retail trade,"Niederle GmbH is a specialized retailer and service provider for office technology, office furniture, and workplace health solutions, established in 1975. They offer a comprehensive range of products including digital printing systems, network solutions, and office furniture, complemented by planning, maintenance, and health promotion services. Operating in Baden-Württemberg, the company emphasizes expert consultation and integrated service from a single source, serving businesses with over 400 sqm of exhibition space.",1,0,0
12,manufacturing in Baden-Württemberg,wurms-pr.de,WURMS Public Relations e.K.,Germany,Baden-Württemberg,"NACE N: Professional, scientific and technical activities","WURMS Public Relations e.K. is a full-service agency founded in 1984, specializing in developing comprehensive communication strategies and dialog-oriented information concepts. They support companies, associations, and institutions in planning and executing successful communication and marketing projects. The company emphasizes the importance of public opinion in dynamic markets and global networking.",1,0,0
12,manufacturing in Baden-Württemberg,dbi-v.de,Digital Business Institute & Ventures GmbH,Germany,Baden-Württemberg,"NACE N: Professional, scientific and technical activities","Digital Business Institute & Ventures GmbH is a German company specializing in advisory and further education in areas such as AI, digitalization strategies, marketing and sales digitalization, and agile management. They also invest in growth companies, particularly in online platforms, AdTech, mobile solutions, and IoT. The company has a track record of successful startup investments and exits.",1,0,0
12,manufacturing in Baden-Württemberg,buergerenergie-denzlingen.de,DEnG,Germany,Baden-Württemberg,"NACE N: Professional, scientific and technical activities","DEnG is an organization focused on promoting renewable energy and climate protection in Germany. They are actively seeking roof spaces for tenant electricity (Mieterstrom) projects and are involved in initiatives like geothermal heating networks. DEnG also facilitates membership for individuals and entities interested in supporting renewable energy development, highlighting improvements in political frameworks for the sector.",1,0,0
15,logistics companies in the US,executivefreightservices.co.uk,Executive Freight Services,United Kingdom,,NACE H: Transportation and storage,"Executive Freight Services is a global logistics partner and freight forwarder offering a comprehensive range of services including air, sea, and road freight, project shipping, and warehousing. They specialize in handling various types of cargo, from time-critical spares and hazardous goods to oversized shipments, with a focus on precision, reliability, and competitive rates. The company aims to provide tailored logistics solutions and expert support to clients worldwide.",0,1,1
34,venture capital firms,westferry.investments,WESTFERRY INVESTMENT LIMITED,United Kingdom,England,NACE L: Financial and insurance activities,"Westferry Investment Limited is an investment firm focused on helping entrepreneurs develop their ideas into successful companies. They actively seek ambitious partners with a drive for growth and flexibility. The company's portfolio includes investments in various sectors, indicating a broad investment strategy.",1,2,2
34,venture capital firms,updata.com,Updata Partners,United States,New Jersey,NACE L: Financial and insurance activities,"Updata Partners is a private equity firm that partners with emerging leaders in the software industry. They focus on B2B software companies with $5M-$50M in revenue, 25%-100%+ growth, and that are bootstrapped or lightly capitalized. With over $1.5 billion in committed capital, they provide growth capital and operational expertise to help their portfolio companies scale.",1,2,2
91,investment management firms,auxopartners.com,Auxo Investment Partners,United States,Michigan,NACE L: Financial and insurance activities,"Auxo Investment Partners is an operationally-focused private investment firm that specializes in acquiring and growing founder- and family-owned industrial, manufacturing, and business services companies. They partner with management teams, providing long-term capital and operational expertise to help these businesses reach their full potential. Their investment philosophy emphasizes people, alignment of interests, transparency, and active operational involvement.",1,2,2
91,investment management firms,bluelinepainting.com,Mulholland Investment Group,United States,,NACE L: Financial and insurance activities,"Mulholland Investment Group is a private equity firm that invests capital and expertise in businesses with high growth potential. They leverage financial assets and operational proficiencies to maximize company value and enhance partnerships. The firm does not limit its investments to specific sectors or development stages, relying on its instinct for potential to guide its growth alongside its portfolio companies.",1,2,2
99,vertical farming companies,hirzelfarms.com,Hirzel Farms,United States,,"NACE A: Agriculture, forestry and fishing","Hirzel Farms is a family-owned agricultural business with nearly a century of experience in organic and sustainable farming. They specialize in crop production, offering certified organic corn, soybeans, grains, and sunflowers. Additionally, Hirzel Farms provides services such as custom seed cleaning, food-grade processing, and compost production from waste materials, aiming to preserve land for future generations and foster community partnerships.",1,0,0
99,vertical farming companies,farmlandlp.com,Farmland LP,United States,California,"NACE A: Agriculture, forestry and fishing","Farmland LP is a leading manager focused on organic and regenerative farming, managing over 18,500 acres. They specialize in transforming conventional farmland into sustainable, organic operations to improve financial returns and environmental impact. The company aims to deliver sustainable returns by capitalizing on the growing demand for organic food and the stability of farmland investments.",1,0,0
12,manufacturing in Baden-Württemberg,3d-f.de,3D-F,Germany,Nordrhein-Westfalen,NACE C: Manufacturing,"3D-F offers comprehensive 3D printing services, transforming ideas into reality with a focus on high-quality technologies and customer-specific solutions. They specialize in delivering precise and detailed prints using a variety of materials, backed by quick delivery and dedicated customer support. The company aims to be an innovative partner for clients needing custom manufacturing solutions.",0,1,1
66,customer relationship management (CRM) software,mareeba.co.uk,Mareeba Limited,United Kingdom,England,"NACE N: Professional, scientific and technical activities","Mareeba Limited is an independent CRM consultancy that provides expert advice on planning, designing, and delivering transformative Customer Relationship Management (CRM) systems. They act as architects for CRM systems, helping clients identify how CRM technology can benefit their business, specify solutions, select suitable platforms, and ensure successful implementation. Their services are technology-agnostic and cater to private, public, and third sectors with the goal of increasing return on investment from CRM and related technologies.",2,1,1
15,logistics companies in the US,jaxtrans.com,JAX TRANSPORTATION AND LOGISTICS,United States,California,NACE H: Transportation and storage,"Jax Transportation and Logistics is a full-service trucking company established in November 2012, specializing in full truckload (FTL) and less than truckload (LTL) services. They offer warehousing, brokerage, and hauling for dry van trailers, flatbeds, and reefers, with expertise in supply chain management (SCM), just-in-time (JIT), and expedited freight. The company aims to be a dependable, honest, and efficient logistics provider, primarily serving the Southeast and Midwest regions of the continental US.",1,2,2
99,vertical farming companies,theorganicfamilyfarm.com,The Organic Family Farm,United States,Florida,"NACE A: Agriculture, forestry and fishing","The Organic Family Farm (TOFF) is a family-run farm dedicated to growing fresh, local produce year-round using aquaponics. This method leverages the symbiotic relationship between fish, microbes, and plants in an oxygen-rich water environment, allowing for cultivation within greenhouses. TOFF aims to provide locally grown products to its community.",1,2,2
56,defense contractors,appsrvc.com,ETHICAL PERSONNEL SERVICES,United States,California,NACE O: Administrative and support service activities,"Ethical Personnel Services (APPS) is a strategic solutions provider specializing in support services for government agencies, Department of Defense prime contractors, and commercial companies. They offer full-service solutions, focusing on workforce needs and placing people first. APPS holds several certifications, including Woman-Owned Small Business (WOSB) and Service Disabled Veteran Owned Small Business (SDVOSB/DVBE).",2,1,1
14,pharmaceutical companies,kylonremedies.com,Kylon Remedies,India,Gujarat,"NACE N: Professional, scientific and technical activities","Kylon Remedies is a pharmaceutical marketing company that offers a range of proprietary products to meet healthcare needs. They focus on innovative pharmaceutical products, emphasizing quality and professionalism in their brand showcasing. The company aims to provide exceptional products and reliable solutions within the pharmaceutical marketing industry.",2,1,1
15,logistics companies in the US,ccgrowthllc.com,"CCGrowth, LLC",United States,,"NACE N: Professional, scientific and technical activities","CCGrowth, LLC is a company specializing in Federal Procurement Consulting, providing information and practical pathways for businesses seeking to engage with the U.S. Federal Government. They aim to support warfighters and defense logistics globally, offering free consultations and bespoke services. Their focus is on enabling companies to navigate the complexities of government contracting.",1,0,0
15,logistics companies in the US,onelinepartners.com,One Line Partners,United States,Delaware,NACE L: Financial and insurance activities,"One Line Partners is an entrepreneurial investment firm founded by experienced operators and entrepreneurs Woody Baum and Alex Ginsberg. They leverage their backgrounds in building and scaling market-leading companies to identify and support promising ventures. The firm's focus appears to be on investing in and operating businesses, drawing from their personal experiences in digital health, logistics, and investment banking.",1,0,0
11,tech companies in Munich,hv-moosach.de,Hausverwaltung Moosach,Germany,Bayern,NACE M: Real estate activities,"Hausverwaltung Moosach is a property management company based in Munich, Germany, specializing in the administration of condominium and rental properties. They leverage modern IT solutions to efficiently manage properties, focusing on detailed oversight of offers, orders, execution, final invoices, and warranty periods. The company also coordinates the inspection and maintenance of safety equipment and technical installations with various service providers.",1,0,0
15,logistics companies in the US,shopeeppx.com,yd12399云顶集团企业（集团）股份有限公司,China,,NACE R: Human health and social work activities,"yd12399云顶集团 is a publicly listed company focused on the pharmaceutical and health industry, specializing in the research, development, production, and marketing of traditional Chinese medicine, biological drugs, and chemical drugs. The company also has interests in medical logistics and aims to become a leader in the musculoskeletal field and modern traditional Chinese medicine. It operates a marketing network across 31 provinces in China and is listed on the Shanghai Stock Exchange.",1,0,0
15,logistics companies in the US,infogen.com.br,INFOGEN INFORMATICA LTDA,Brazil,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Infogen Informatica Ltda is a technology company specializing in the development of management software (ERP) for the agribusiness sector in Brazil. They offer integrated solutions tailored for agricultural cooperatives, grain handlers, input retailers, agro-industries, dairy producers, and logistics companies. Their mission is to provide intelligent solutions that drive efficiency and sustainable growth for businesses within the agribusiness ecosystem.",1,0,0
72,managed service providers (MSPs),ncubelab.com,(주)엔큐브랩,South Korea,Gyeonggi-do,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Ncubelab is a South Korean company specializing in network security monitoring solutions. Their flagship product, Ncurion IDS, offers high-performance intrusion detection and network security monitoring for ISPs, CSPs, and MSPs, with a focus on cloud environments and container-based deployment. The company also partners with other security vendors, listing CrowdStrike, DBSAFER, Tanium, ProofPoint, and Ahnnet under its products section.",2,1,1
72,managed service providers (MSPs),rackbunker.com,"Rack Bunker Data Centers, LLC",United States,Indiana,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Rack Bunker Data Centers is a minority-owned data center provider offering secure, reliable, and flexible cloud solutions including colocation, private suites, private cages, and managed services. They specialize in customized data center solutions to meet unique business needs, with offerings like private cloud, hybrid cloud, and public cloud presence. The company also provides connectivity to major cloud providers and offers remote hands support.",2,1,1
12,manufacturing in Baden-Württemberg,bauzentrum-widmann.de,Bauzentrum Widmann,Germany,Baden-Württemberg,NACE G: Wholesale and retail trade,"Bauzentrum Widmann is a family-owned company established in 1560, specializing in the sale of building materials for both professionals and private customers. They offer a wide range of products including materials for construction, roofing, facades, tiling, flooring, and landscaping. The company emphasizes personalized customer service, expert advice, and also provides services like an online subsidy calculator and an exhibition for inspiration.",1,0,0
27,biotech companies,aquila-biolabs.de,aquila biolabs,Germany,Nordrhein-Westfalen,"NACE N: Professional, scientific and technical activities","Aquila biolabs was a company that specialized in bioprocessing solutions. In 2021, it merged with Scientific Bioprocessing, Inc. (SBI), and all its content, including products and publications, is now available on the SBI website. The redirection indicates a transition of operations and product lines to the acquiring entity.",1,2,2
27,biotech companies,militiahillventures.com,Militia Hill Ventures,United States,Delaware,"NACE N: Professional, scientific and technical activities","Militia Hill Ventures is a life sciences company builder that creates and develops exceptional companies in the life sciences sector. They leverage their network, expertise, and relationships to accelerate scientific innovation, bringing together premier science, management, and investors. Their 'build' approach aims to create high-quality, fast-growing companies that develop life-saving therapies and deliver high value returns to investors.",2,1,1
11,tech companies in Munich,homeofit.de,Wayotrone,Germany,Bayern,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Wayotrone offers professional software development services, specializing in custom solutions for small to medium-sized businesses and individuals. They also provide unique robot rentals for events and educational purposes, featuring their self-developed 'Wayotrone' robots for interactive games and learning experiences. Their mission is to deliver fast, reliable, and engaging solutions through close customer collaboration.",1,2,2
11,tech companies in Munich,teqyard.de,TEQYARD GmbH,Germany,Niedersachsen,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","TEQYARD GmbH is a company specializing in data-driven solutions, software development, and digital strategy. They leverage AI and Data Analytics to help businesses uncover insights, optimize processes, and develop new business models. Their services include building modern data architectures, implementing AI solutions like RAG systems, developing custom software, and crafting digital and AI strategies.",1,0,0
11,tech companies in Munich,werk1.com,WERK1,Germany,Bayern,"NACE N: Professional, scientific and technical activities","WERK1 is a digital startup hub and innovation center located in Munich, Germany. It provides modern offices, coworking spaces, coliving apartments, and networking events to support digital startups and entrepreneurs. The center aims to foster an environment for exchange, growth, and success within the Munich startup ecosystem.",2,1,1
11,tech companies in Munich,munich-startup.de,Munich Startup,Germany,Bayern,"NACE N: Professional, scientific and technical activities","Munich Startup is the official startup portal for Munich and its surrounding region, serving as a primary virtual point of contact for innovative, technology-oriented startups. It provides neutral and independent information on the local startup ecosystem, including news, events, funding opportunities, and resources for founders and investors. The portal aims to foster growth and connection within the Munich startup scene.",2,1,1
12,manufacturing in Baden-Württemberg,niklaus-baugeraete.de,Niklaus Baugeräte GmbH,Germany,Baden-Württemberg,NACE G: Wholesale and retail trade,"Niklaus Baugeräte GmbH is a company specializing in the rental and sale of construction machinery and equipment. They offer a wide range of products including excavators, cranes, and containers, as well as professional services like crane assembly, repair, and spare parts. With over 50 years of experience, they serve the construction industry across multiple locations in Baden-Württemberg.",2,1,1
