query_id,query,domain,name,summary
1,software companies,dataflex.at,Dataflex Software GmbH,"Dataflex Software GmbH is an Austrian company specializing in software solutions for the glass industry. They offer a range of products, including FlexinoLight, Flexino, FlexaroLight, and Flexaro, designed to cater to businesses of all sizes, from micro-enterprises to growing glass companies. Their software aims to provide efficient organization, scalability, and comprehensive control for glass professionals."
1,software companies,handwerkerpartner.de,Label Software,"Label Software provides comprehensive business management solutions for trade companies, specializing in digitalization for the craft sector. Their core product, Labelwin, is a complete administrative solution for organizing and managing trade businesses, particularly in plumbing, heating, electrical, cooling/air conditioning, solar, and plant construction. They also offer a configurator called ""mobile offer"" for rapid quote generation and consulting services to guide businesses through digital transformation."
1,software companies,heeros.com,Finago (formerly Heeros),"Finago, formerly Heeros, is a software company that provides business management solutions. Their offerings include financial management software (accounting, invoicing), HR and payroll systems, and project management tools (Finago PSA) for expert companies. They aim to automate business processes and improve efficiency for small and medium-sized enterprises."
1,software companies,ibtg-online.de,IBTG GmbH,"IBTG GmbH is a German company specializing in the development of custom software solutions and adapted standard software for energy supply companies (EVUs). They focus on optimizing business processes and digitalization, particularly in areas like accounting and document management. IBTG also develops industry-specific software for energy providers focusing on contracting, decentralized generation and supply, combined heat and power, and biogas."
1,software companies,ictstrategie.nl,Shipbuilder Software,"Shipbuilder Software is a maritime knowledge partner that provides integrated software solutions for the maritime industry. With over 25 years of experience, they help companies specify, design, build, and maintain vessels more efficiently by structuring project data. Their software aims to reduce search time, prevent errors, and enable earlier project delivery, supporting digital transformation and data-driven operations."
1,software companies,loankeeper.ge,Dolphin Software,"Dolphin Software is a Georgian company founded in 2004, specializing in providing comprehensive software solutions for microfinance institutions. Their flagship product, LoanKeeper, is designed to support the growth and innovation of credit companies by offering a reliable, practical, and all-encompassing system. The company aims to be a leader in financial technology by continuously innovating and setting industry standards."
1,software companies,mysoftlabs.com,Mysoftlabs,"Mysoftlabs is a global digital IT solutions provider specializing in digital transformation, automation, cloud computing, application development, cybersecurity, and embedded software services. They leverage AI, machine learning, and data engineering to help over 100 companies re-engineer processes, improve efficiency, and make data-driven decisions. Their mission is to be a top digital service provider by 2025, partnering with clients to evolve their digital strategies."
1,software companies,tjaldur.nl,Tjaldur Software Governance Solutions,"Tjaldur Software Governance Solutions is a company specializing in software governance and license compliance engineering, with a focus on GNU GPL and LGPL licenses. They aim to simplify software governance through effective processes, tools, and mindset, leveraging their extensive experience since 2005 to help companies resolve compliance issues and prevent legal disputes. Their vision is to make software governance straightforward and transparent."
1,software companies,waterloo-software.com,Waterloo Manufacturing Software,"Waterloo Manufacturing Software provides advanced planning and scheduling (APS) software, specifically their TACTIC product, designed for manufacturing companies. Their software helps businesses improve production scheduling, enhance delivery performance, reduce costs, and gain better visibility into their operations. TACTIC integrates with existing ERP/MRP systems to manage complex production schedules, optimize resource allocation, and respond to changes effectively."
5,companies providing cloud migration services,b1consulting.nl,B1 Consulting bv,"B1 Consulting bv is an IT consultancy firm providing professional services to various organizations. They specialize in project management, IT architecture, system implementation, and ICT consultancy, with a focus on delivering tailored solutions for complex IT environments. Their expertise spans areas like cloud migration, data management, enterprise service bus solutions, and digital asset management."
5,companies providing cloud migration services,cloudock.cn,云坞科技 (Cloudock),"Cloudock Technology specializes in data migration and disaster recovery solutions, leveraging advanced block-level real-time data synchronization and replication technology. They offer a comprehensive platform supporting various data types, including full system migration, CDP disaster recovery, data and application high availability, and object/database synchronization. Their solutions cater to data centers and cloud service providers, aiming to enhance data services and operational resilience."
5,companies providing cloud migration services,cruise-it.com,Cruise IT Services,"Cruise IT Services is a privately owned IT full-service provider established in 2004, based in Austria. They offer comprehensive IT solutions for cruise and cargo ships, as well as small to medium-sized companies, specializing in IT infrastructure, network, security, cloud migration, and MS 365 services. Their mission is to allow clients to focus on their core business by outsourcing all IT matters to professionals, acting as IT consultants, solution providers, and competence centers."
5,companies providing cloud migration services,cstechlab.com,Consensus,"Consensus is a technology solutions and talent provider that builds high-performance teams and develops cutting-edge software solutions. They specialize in automation, hyperautomation, and cloud services, offering services such as RPA, AI/ML, cloud migration, and API integration. The company focuses on delivering tailored solutions and high-talent teams to help clients achieve their business objectives and digital transformation goals."
5,companies providing cloud migration services,infokall.com.my,INFOKALL Solutions Sdn Bhd,"INFOKALL Solutions Sdn Bhd is an IT services company specializing in delivering tailored IT solutions and skillset deployment. They offer Application Management Services (AMS) support, SAP resource augmentation, and digital transformation services including cloud migration, IT infrastructure, and cybersecurity. The company aims to empower businesses to thrive in the digital world by providing expert IT consulting and transformation services across various industries."
5,companies providing cloud migration services,integr-it.fr,INTEGR-IT,"INTEGR-IT specializes in designing, deploying, and maintaining robust IT infrastructure, cloud solutions, and cybersecurity services. They offer expertise in server and network management, cloud migration (AWS, Azure, Google Cloud), vulnerability assessment, and data protection. The company also provides telecommunication solutions, including VoIP and enterprise network management, alongside digital services like campaign optimization and SEO strategies."
5,companies providing cloud migration services,media-tel.ru,ПРОМАЙН (PROMAIN),"PROMAIN is a group of companies specializing in the development and implementation of complex software solutions, deep business process analysis, and IT consulting. They offer services such as business process analysis, data analytics, AI/ML, cloud migration, and low-code platform development. With 20 years of market experience, they aim to create digital futures by challenging industry giants with their proprietary products and algorithms."
5,companies providing cloud migration services,melonleaf.com,Melonleaf Consulting,"Melonleaf Consulting is a global technology and digital transformation company specializing in IT services, Salesforce consulting, cloud and DevOps solutions, and AI services. They help businesses innovate their work processes through custom solutions, aiming to reduce manual involvement and adopt AI. The company offers services such as Salesforce implementation, cloud migration, data engineering, and AI integration, serving various industries worldwide."
5,companies providing cloud migration services,root360.de,Skaylink GmbH,"Skaylink is a European specialist in digital transformation and cloud solutions, focusing on implementing digital strategies into innovative cloud environments. They offer a comprehensive range of services including cloud strategy, infrastructure, migration, modern workplace solutions, application innovation, data analytics, AI, cloud security, and managed services. Skaylink partners with clients across various industries to accelerate their time-to-value and achieve their cloud journey goals."
5,companies providing cloud migration services,skybridgeglobal.com,Datavail,"Datavail is a technology services company specializing in data analytics, AI/ML, cloud solutions, and application management. They help businesses modernize their IT environments to become AI-enabled, focusing on delivering outcomes like uptime, speed, cost efficiency, and AI readiness. Their services span data integration, cloud migration, database management, and Oracle application support, serving various industries."
5,companies providing cloud migration services,tapeark.com,Tape Ark,"Tape Ark is a global expert in tape to cloud migration, specializing in liberating data from legacy tape formats to modern cloud storage. They offer comprehensive data management services, including media audits, tape virtualization, data ingest, and AI/ML services to unlock the value of archived data for analytics and large language models. Their mission is to help organizations maximize their data's potential by providing secure, efficient, and cloud-agnostic solutions."
5,companies providing cloud migration services,wxrcbq.com,阿里云 (Alibaba Cloud),"Alibaba Cloud is a leading cloud computing company offering a comprehensive suite of cloud services, including computing, storage, networking, databases, big data analytics, and AI. It provides solutions for various industries, aiming to make cloud computing accessible and beneficial for businesses of all sizes. The company is a major player in the global cloud market, known for its robust infrastructure and innovative technologies."
