query_id,query,k,ndcg,precision,recall
4,renewable energy companies in Germany,10,1.0,1.0,0.5
4,renewable energy companies in Germany,50,1.0,0.4,1.0
4,renewable energy companies in Germany,100,1.0,0.2,1.0
4,renewable energy companies in Germany,500,1.0,0.04,1.0
4,renewable energy companies in Germany,1000,1.0,0.02,1.0
5,companies providing cloud migration services,10,1.0,1.0,0.5
5,companies providing cloud migration services,50,1.0,0.4,1.0
5,companies providing cloud migration services,100,1.0,0.2,1.0
5,companies providing cloud migration services,500,1.0,0.04,1.0
5,companies providing cloud migration services,1000,1.0,0.02,1.0
12,manufacturing in Baden-Württemberg,10,0.39575248596971574,0.6,0.42857142857142855
12,manufacturing in Baden-Württemberg,50,0.6997387950813063,0.28,1.0
12,manufacturing in Baden-Württemberg,100,0.6997387950813063,0.14,1.0
12,manufacturing in Baden-Württemberg,500,0.6997387950813063,0.028,1.0
12,manufacturing in Baden-Württemberg,1000,0.6997387950813063,0.014,1.0
14,pharmaceutical companies,10,1.0,1.0,0.5
14,pharmaceutical companies,50,1.0,0.4,1.0
14,pharmaceutical companies,100,1.0,0.2,1.0
14,pharmaceutical companies,500,1.0,0.04,1.0
14,pharmaceutical companies,1000,1.0,0.02,1.0
15,logistics companies in the US,10,1.0,1.0,0.5
15,logistics companies in the US,50,1.0,0.4,1.0
15,logistics companies in the US,100,1.0,0.2,1.0
15,logistics companies in the US,500,1.0,0.04,1.0
15,logistics companies in the US,1000,1.0,0.02,1.0
18,financial services companies,10,0.9305687780632227,1.0,0.5
18,financial services companies,50,0.9708898151560557,0.4,1.0
18,financial services companies,100,0.9708898151560557,0.2,1.0
18,financial services companies,500,0.9708898151560557,0.04,1.0
18,financial services companies,1000,0.9708898151560557,0.02,1.0
28,digital transformation consultants,10,1.0,1.0,0.5
28,digital transformation consultants,50,1.0,0.4,1.0
28,digital transformation consultants,100,1.0,0.2,1.0
28,digital transformation consultants,500,1.0,0.04,1.0
28,digital transformation consultants,1000,1.0,0.02,1.0
29,cloud computing providers,10,1.0,1.0,0.5
29,cloud computing providers,50,1.0,0.4,1.0
29,cloud computing providers,100,1.0,0.2,1.0
29,cloud computing providers,500,1.0,0.04,1.0
29,cloud computing providers,1000,1.0,0.02,1.0
30,mobile app development companies,10,1.0,1.0,0.5
30,mobile app development companies,50,1.0,0.4,1.0
30,mobile app development companies,100,1.0,0.2,1.0
30,mobile app development companies,500,1.0,0.04,1.0
30,mobile app development companies,1000,1.0,0.02,1.0
32,SEO companies,10,1.0,1.0,0.5
32,SEO companies,50,1.0,0.4,1.0
32,SEO companies,100,1.0,0.2,1.0
32,SEO companies,500,1.0,0.04,1.0
32,SEO companies,1000,1.0,0.02,1.0
36,investment banks,10,1.0,1.0,0.5
36,investment banks,50,0.9997323323328965,0.4,1.0
36,investment banks,100,0.9997323323328965,0.2,1.0
36,investment banks,500,0.9997323323328965,0.04,1.0
36,investment banks,1000,0.9997323323328965,0.02,1.0
55,aerospace companies,10,1.0,1.0,0.5
55,aerospace companies,50,1.0,0.4,1.0
55,aerospace companies,100,1.0,0.2,1.0
55,aerospace companies,500,1.0,0.04,1.0
55,aerospace companies,1000,1.0,0.02,1.0
65,inventory management software,10,1.0,1.0,0.5
65,inventory management software,50,1.0,0.4,1.0
65,inventory management software,100,1.0,0.2,1.0
65,inventory management software,500,1.0,0.04,1.0
65,inventory management software,1000,1.0,0.02,1.0
70,cybersecurity solutions providers,10,1.0,1.0,0.5
70,cybersecurity solutions providers,50,1.0,0.4,1.0
70,cybersecurity solutions providers,100,1.0,0.2,1.0
70,cybersecurity solutions providers,500,1.0,0.04,1.0
70,cybersecurity solutions providers,1000,1.0,0.02,1.0
72,managed service providers (MSPs),10,1.0,1.0,0.5
72,managed service providers (MSPs),50,1.0,0.4,1.0
72,managed service providers (MSPs),100,1.0,0.2,1.0
72,managed service providers (MSPs),500,1.0,0.04,1.0
72,managed service providers (MSPs),1000,1.0,0.02,1.0
76,domain name registrars,10,1.0,1.0,0.5
76,domain name registrars,50,1.0,0.4,1.0
76,domain name registrars,100,1.0,0.2,1.0
76,domain name registrars,500,1.0,0.04,1.0
76,domain name registrars,1000,1.0,0.02,1.0
78,e-learning platforms,10,0.9305687780632227,1.0,0.5
78,e-learning platforms,50,0.9708898151560557,0.4,1.0
78,e-learning platforms,100,0.9708898151560557,0.2,1.0
78,e-learning platforms,500,0.9708898151560557,0.04,1.0
78,e-learning platforms,1000,0.9708898151560557,0.02,1.0
82,public relations agencies,10,1.0,1.0,0.5
82,public relations agencies,50,1.0,0.4,1.0
82,public relations agencies,100,1.0,0.2,1.0
82,public relations agencies,500,1.0,0.04,1.0
82,public relations agencies,1000,1.0,0.02,1.0
87,accounting software providers,10,1.0,1.0,0.5
87,accounting software providers,50,1.0,0.4,1.0
87,accounting software providers,100,1.0,0.2,1.0
87,accounting software providers,500,1.0,0.04,1.0
87,accounting software providers,1000,1.0,0.02,1.0
95,construction equipment manufacturers,10,1.0,1.0,0.5263157894736842
95,construction equipment manufacturers,50,0.9930139363923868,0.38,1.0
95,construction equipment manufacturers,100,0.9930139363923868,0.19,1.0
95,construction equipment manufacturers,500,0.9930139363923868,0.038,1.0
95,construction equipment manufacturers,1000,0.9930139363923868,0.019,1.0
