query_id,query,domain,name,summary,your_blind_label,openai_label,claude_label
77,content management systems (CMS),der-dirigent.de,Der Dirigent,"Der Dirigent is an open-source project that provides a user-friendly and flexible Content Management System (CMS). It allows for extensive customization through various modules and plugins. The project offers a live demo, hosting options, references, and support, aiming to empower users to manage their content effectively.",2,2,2
30,mobile app development companies,eralapps.com,Acento Comunicación,"Acento Comunicación specializes in developing custom mobile applications for iOS and Android, including games, educational apps, and book adaptations. They also offer mobility solutions for businesses, such as web portals and event management systems, powered by their proprietary content management system. The company emphasizes its multidisciplinary team of engineers, designers, and journalists, and highlights its extensive experience and positive recommendations from Apple.",2,2,2
45,robotics companies,robolife-shop.co.kr,(주)로보라이프,"(주)로보라이프 is a company specializing in robotics, offering a range of products including humanoid robots, kits, motors, robot parts, and accessories like robot bags and toolkits. They also provide services such as small payments and have a customer service center. The company operates an online shopping mall for its products and is involved in the sale and distribution of robotics-related items.",2,2,2
101,alternative protein manufacturers,elcriton.com,Superbrewed Food,"Superbrewed Food is an innovative company that produces the world's first postbiotic cultured protein, a new category of ingredient. This protein offers superior nutrition, taste, texture, and functionality, derived from a natural anaerobic fermentation process similar to brewing beer or making kimchi. Their mission is to provide a more delicious, nutritious, affordable, and sustainable protein source that addresses the challenges of the alternative protein market, such as allergens and GMOs.",2,2,2
61,warehousing companies,qdshenao.com,青岛申奥仓储设备有限公司,"Qingdao Shenao Warehousing Equipment Co., Ltd. is a professional company specializing in the production and sales of warehousing equipment. Their product range includes plastic pallets, turnover boxes, parts boxes, wire rods, tool cabinets, workbenches, logistics trolleys, and more. They also offer a variety of hardware tools, electrical appliances, measuring tools, and industrial safety products. The company serves various sectors including shopping malls, large-scale warehouses, and industrial storage facilities, emphasizing quality, variety, and excellent service.",2,2,1
16,data analytics companies,theanalyticscompany.nl,The Analytics Company,"The Analytics Company specializes in providing expert digital tracking, tag management, and personalization services to organizations struggling with data quality and actionable insights. With over 20 years of experience, the company transforms raw data into valuable business intelligence, enabling clients to understand user behavior, optimize digital channels, and build stronger customer relationships. They offer implementation, administration, and integration of various analytics and data management tools, including their proprietary Digital Data Manager (DDM) solution.",2,2,2
24,solar panel manufacturers,bumblebeesolar.net,"Bumblebee Solar, LLC","Bumblebee Solar, LLC is a solar energy company based in Humble, TX, specializing in custom solar design, installation, and electrical services for residential and commercial clients. They emphasize a direct, hands-on approach, with all work performed by their own licensed electricians, ensuring quality and expertise. The company aims to revolutionize solar solutions by providing energy savings and a commitment to excellence, offering tailored experiences and partnering with leading manufacturers and financing companies.",1,1,1
81,market research firms,wraresearch.com,Wiese Research Associates,Wiese Research Associates is a full-service market research firm with over 40 years of experience. They offer expertise across a broad range of industries and can handle projects from start to finish or on an a-la-carte basis. The firm emphasizes that their people make the measurable difference in their work.,2,2,2
46,3D printing companies,3dprintshopen.se,3D Printshopen,"3D Printshopen offers comprehensive 3D printing services, including design, prototyping, and direct 3D printing of physical objects from digital models. They cater to entrepreneurs, architects, designers, and craftsmen, providing solutions from idea conceptualization to final product realization. The company also offers training courses and supports businesses looking to start in the 3D printing industry, with global shipping available.",2,2,2
76,domain name registrars,minghong.com,名宏域名MingHong.com,"MingHong.com is a professional platform specializing in international domain name registration, auction, and trading services. The company offers domain name querying, acquisition through auctions and expired domain sniping, and registration services. It also provides related cloud products like SSL certificates and enterprise email, positioning itself as a comprehensive service provider in the domain name industry with a stated history of serving a large user base.",2,2,2
41,medical device manufacturers,oudeyiliao.com,江西欧德医疗器材有限公司,"Jiangxi Oude Medical Equipment Co., Ltd. is a manufacturer specializing in medical devices, particularly a full range of biopsy needles and guidewires. They also offer OEM/ODM services for various medical devices, including diagnostics. The company emphasizes high quality, competitive pricing, and efficient delivery, positioning itself as a strong partner in the medical device industry.",2,2,2
58,shipping companies,cmsconsultants.com,"ProShip, Inc.","ProShip, Inc. is a technology company specializing in multi-carrier shipping software solutions. They offer two main products: ProShip for Enterprise for high-volume shippers and WorldLink for small to mid-sized businesses (SMBs). Their software helps companies streamline shipping operations, reduce costs, automate workflows, and integrate with existing systems like WMS and ERP. ProShip aims to provide flexibility and choice in parcel and LTL shipping for various industries including retail, manufacturing, healthcare, and 3PL.",0,1,1
36,investment banks,kaloramacapital.com,Kalorama Capital,"Kalorama Capital is an alternative investments boutique investment bank and placement agent specializing in raising capital for private equity and real estate funds. They advise funds and companies on structuring, branding, marketing, and investor relations. The firm also provides advisory services for companies in formation and has expertise in energy/clean tech, impaired financial institutions, and emerging markets, serving both US and international clients.",2,1,2
11,tech companies in Munich,jonas-gahlert.de,Munich Milan,"Munich Milan is a startup consultancy and networking platform based in Hamburg, Germany, that connects startups with experienced entrepreneurs and provides advice on various business challenges. They offer services related to patent law, tax consulting, online marketing, investor relations, HR, and customer acquisition. The platform also features a blog discussing current business trends and challenges relevant to entrepreneurs.",1,0,0
48,food processing companies,benbsnijderij.nl,B en B snijderij B.V.,"B en B snijderij B.V. specializes in cutting and preparing fresh fruits and vegetables into various forms like slices, pieces, and wedges. They supply high-quality prepared produce to a wide range of clients including bakeries, barbecue specialists, retailers, industry, and food services across the Netherlands. The company emphasizes quality, craftsmanship, and maintaining the freshness and flavor of their products.",2,1,2
45,robotics companies,summerrobotics.ai,Summer Robotics,"Summer Robotics develops advanced perception systems for industrial robots, utilizing patented laser-event sensing technology to provide superhuman vision capabilities. Their solutions enable robots to recognize, track, measure, and control objects with high speed and precision, overcoming limitations of traditional camera-based systems. The company targets industries requiring speed and adaptability, such as automotive, agriculture, and logistics, aiming to reduce cycle times, increase throughput, and solve labor shortages.",2,2,2
61,warehousing companies,wppart.com,杭州原华供应链管理有限公司,"Hangzhou Yuanhua Supply Chain Management Co., Ltd., established in 2016, specializes in supply chain management for medical devices. They offer platform agency, warehousing and distribution, terminal invoicing, and market promotion services to manufacturers, and business management tools, warehousing, and product development services to distributors. The company operates multiple certified warehousing and distribution bases across Zhejiang province, covering nearly 10,000 square meters and serving over 2,000 clients with a nationwide distribution network. Their integrated supply chain service system aims to be a one-stop solution provider for medical device companies.",2,1,1
92,wealth management firms,monarchwealthmanagement.com,"MONARCH WEALTH MANAGEMENT, LLC","Monarch Wealth Management, LLC is a financial advisory firm that offers comprehensive wealth management services. They focus on creating personalized financial plans, implementing investment strategies, and providing ongoing portfolio management, including rebalancing and tax-loss harvesting. The firm aims to guide clients through their financial journey, from initial consultation to retirement, adapting plans to life changes and market conditions.",2,2,2
7,machine learning companies,schmosslab.com,Schmosslab,"Schmosslab is a company specializing in enhancing data analytics through machine learning and AI. They offer data-driven solutions and an unsupervised learning AI platform called ULbrain™, designed to process various data types for forward-thinking companies. Their mission is to be a respected organization guided by a philosophy of being Fresh, Fearless, and Fast.",2,2,2
64,point of sale systems providers,midlandspos.com,Midlands Business Equipment,"Midlands Business Equipment specializes in providing professional Point of Sale (POS) technology solutions for hospitality, retail, and corporate dining sectors. They offer a comprehensive range of services including POS sales, service, support, software and hardware selection, and supplies. Their solutions are designed to enhance customer experience and streamline operations through features like mobile ordering, cashless payments, self-checkout, loyalty programs, and inventory management.",2,2,2
