query_id,query,domain,name,summary,openai_label,openai_reason,claude_label,claude_reason,your_label
1,software companies,stonearchsoftware.com,StoneArch Software,"StoneArch Software offers simplified software solutions, as indicated by their tagline ""Software Solutions Made Simple."" The website provides a contact form for inquiries and a signup for an email list, suggesting a focus on customer engagement and service delivery within the software industry. The copyright notice indicates an active operation.",1,"StoneArch Software is a software company, but the description lacks specific details about its offerings or market position.",2,"StoneArch Software is directly a software company offering software solutions, making it a strong match for the 'software companies' search query.",2
1,software companies,makeding.com,C&J Marketing Software,"C&J Marketing Software Co., Ltd. is a software company founded in 2009, focused on promoting the legalization of commercial software in China. They offer a wide range of software products for various sectors including industrial, educational, personal consumption, and office use, leveraging big data marketing to recommend suitable software. Their mission is to build a software ecosystem that benefits clients, manufacturers, channels, and the digital industry.",1,"The company is a software company, but its focus is more on marketing and promoting software rather than being a general software provider.",2,"C&J Marketing Software is directly a software company that develops and distributes software products, making it a strong match for the 'software companies' search query.",2
1,software companies,redprint.com,REDPrint,"REDPrint is a Spanish company with 30 years of experience in software development, initially focusing on the graphic arts and press sectors. It has evolved into a technology and software development company offering versatile, adaptable, and innovative solutions for SMEs and large enterprises. Their services include custom software development, web development, and sustainable development practices, aiming to align technology with business objectives.",1,The company is related to software development but does not specifically identify as a software company in a broader sense.,2,"REDPrint is a software development company offering custom software, web development, and technology solutions, making it a direct match for the 'software companies' search query.",2
1,software companies,eveinfotec.in,Eve Infotec,"Eve Infotec offers innovative software solutions, as indicated by its tagline. The company appears to be involved in the technology sector, providing software development or related services. Further details about specific products, services, or its mission are not provided on the website.",1,"Eve Infotec is a software company, but lacks specific details about its offerings.",2,"Eve Infotec is explicitly described as offering software solutions and being involved in software development services, making it a direct match for the 'software companies' search query.",2
1,software companies,algorithm-sh.gr,Algorithm Software House,"Algorithm Software House develops large-scale, reliable, and innovative software solutions tailored for businesses with demanding infrastructures. They specialize in optimizing processes, increasing productivity, and integrating seamlessly with existing systems. Their services include business software development, automation, system integration, and secure data management, with a focus on the financial and industrial sectors.",1,The company is a software developer but focuses on specific sectors and services.,2,"Algorithm Software House is a software company that directly develops and provides software solutions, making it a strong match for the 'software companies' search query.",2
1,software companies,etinel.pl,Etinel Software,"Etinel Software is a team of passionate developers focused on creating innovative software solutions and developing their own projects rather than taking on client work. Their mission is to blend technology and creativity to develop unique products that enhance how people work and play. The company emphasizes a forward-thinking approach, embracing new technologies and AI to build engaging digital experiences.",1,The company is a software developer but focuses on its own projects rather than client work.,2,"Etinel Software is directly a software company that creates software solutions and digital products, making it a strong match for the query 'software companies'.",2
1,software companies,appsource.co.in,AppSource,"AppSource offers innovative software solutions for businesses. While specific details about their products or services are not provided, the website indicates a focus on business software and solutions. The site also includes standard cookie consent and copyright information.",1,AppSource is related to software solutions but lacks specific details about its offerings.,2,"AppSource is explicitly identified as a software company offering software solutions for businesses, which directly matches the search query for software companies.",SKIP
1,software companies,exapps.co.za,ExApps,ExApps is a software solutions provider offering a range of products for various environments. They also provide custom development services and encourage potential clients to contact them for specific needs. The company aims to deliver tailored software solutions.,1,"ExApps is a software company, but the description is general and lacks specific details about their offerings.",2,ExApps is a software solutions provider that directly matches the search query for software companies.,SKIP
1,software companies,softwareperfinanziarie.com,Gruppo M.I.T.,"Gruppo M.I.T. specializes in the production of software and consulting services for companies operating in the financial sector and for holding companies. Their integrated software solutions address regulatory and legislative requirements for entities registered with UIF/Banca d'Italia and Consob. They offer a range of software packages for various financial intermediaries, including SGRs, payment institutions, and professional gold traders, alongside modules for anti-money laundering, tax investigations, and risk management.",1,"The company specializes in software for the financial sector, which is related to software companies but not a broad match.",2,"Gruppo M.I.T. is a software company that specializes in software production and consulting services, making it a direct match for a 'software companies' search query.",2
1,software companies,teamsoftware.com,TEAM Software,"TEAM Software provides an integrated ERP ecosystem specifically designed for commercial cleaning, security, and facilities management companies. Their solutions aim to streamline operations, enhance productivity, and support long-term business growth through specialized software like WinTeam, Hire by WorkWave, and Lighthouse. The company focuses on delivering industry-specific expertise and customer-centric support to help businesses optimize efficiency and profitability.",1,"TEAM Software specializes in software solutions for specific industries, making it partially relevant to the broader query of software companies.",2,TEAM Software is a software company that directly matches the search query for 'software companies'.,2
