query_id,query,domain,gold_label
72,managed service providers (MSPs),truepacket.com.my,2
34,venture capital firms,consorcapital.com,2
12,manufacturing in Baden-Württemberg,bayer-raach.de,1
56,defense contractors,jmzqq.com,2
11,tech companies in Munich,biermeier.de,2
1,software companies,bpapos.com,2
82,public relations agencies,arzhelys.com,2
72,managed service providers (MSPs),lightros.ru,1
27,biotech companies,dagventures.com,1
15,logistics companies in the US,americansupplyco.com,2
2,healthcare providers,sionsberg.nl,1
66,customer relationship management (CRM) software,dlyunfang.com,2
5,companies providing cloud migration services,andreas-cleaning.com,2
11,tech companies in Munich,altevi.de,2
5,companies providing cloud migration services,bizcloud9.com,2
66,customer relationship management (CRM) software,cvcrm.com.br,2
14,pharmaceutical companies,adeptioltd.com,2
2,healthcare providers,provider-resources.com,1
1,software companies,lugosoft.com,2
15,logistics companies in the US,freightforwardersinc.com,2
2,healthcare providers,uhcwest.com,1
2,healthcare providers,yourbridgewell.com,2
4,renewable energy companies in Germany,energiezukunftdeutschland.de,1
5,companies providing cloud migration services,infooptics.com,2
56,defense contractors,infomatrixtech.com,2
1,software companies,algorithm-sh.gr,2
12,manufacturing in Baden-Württemberg,weberweb.com,1
11,tech companies in Munich,ystmr.com,2
56,defense contractors,kestral.com,2
11,tech companies in Munich,zielfuehrend.com,1
2,healthcare providers,tenethealth.com,2
14,pharmaceutical companies,universepharma.com,2
12,manufacturing in Baden-Württemberg,schreinerei-fischbacher.de,0
15,logistics companies in the US,futura-coldstore.com,0
15,logistics companies in the US,srpdigitalservices.com,1
5,companies providing cloud migration services,birdday-it.be,2
14,pharmaceutical companies,biropharma.hu,2
12,manufacturing in Baden-Württemberg,becht-online.de,0
34,venture capital firms,creeris.com,2
15,logistics companies in the US,dstransportexpress.com,2
1,software companies,makeding.com,2
66,customer relationship management (CRM) software,dinware.ch,1
1,software companies,cedisoft.it,2
11,tech companies in Munich,mathae-mueller.de,0
11,tech companies in Munich,linksderisar.com,2
82,public relations agencies,publicactif.com,1
3,AI startups in Berlin,nextapps.de,2
15,logistics companies in the US,bestwtc.com,2
56,defense contractors,profense.com,2
4,renewable energy companies in Germany,windbauer.com,2
14,pharmaceutical companies,pharmalot.com,1
72,managed service providers (MSPs),moosmayer.de,2
56,defense contractors,oldlinemanufacturing.com,2
1,software companies,softwaregenesis.com,2
5,companies providing cloud migration services,cloudshyft.com,2
15,logistics companies in the US,mcmtra.com,2
66,customer relationship management (CRM) software,ffv.pl,2
72,managed service providers (MSPs),gmd.bm,2
82,public relations agencies,socializeagency.com,1
15,logistics companies in the US,greencitytrucking.com,2
27,biotech companies,genilac.com,2
66,customer relationship management (CRM) software,crsinc.co.jp,1
5,companies providing cloud migration services,nebulaus.com.au,2
72,managed service providers (MSPs),netrouting.com,1
3,AI startups in Berlin,steuerplanung.net,0
5,companies providing cloud migration services,cloudants.net,2
4,renewable energy companies in Germany,reg-en.com,2
2,healthcare providers,healthpronetwork.com,1
11,tech companies in Munich,computerservice-hess.de,1
2,healthcare providers,medquick.tn,1
1,software companies,software-solution.it,2
72,managed service providers (MSPs),smileback.com,2
11,tech companies in Munich,bitautor.de,0
15,logistics companies in the US,flywayexpress.com,2
2,healthcare providers,healthcare4ppl.com,2
66,customer relationship management (CRM) software,mp-sales-consulting.de,1
27,biotech companies,biovanguard.com.tw,1
3,AI startups in Berlin,marco-riege.de,1
56,defense contractors,rdp21.org,1
72,managed service providers (MSPs),meetgradient.com,2
56,defense contractors,miltech.gr,2
2,healthcare providers,careisma.se,1
34,venture capital firms,bridgeventurepartners.com,2
3,AI startups in Berlin,avalacapital.com,1
4,renewable energy companies in Germany,joerg-erdmann.de,2
72,managed service providers (MSPs),appxite.com,1
56,defense contractors,rhiconstruct.com,1
15,logistics companies in the US,hudsonltl.com,2
4,renewable energy companies in Germany,gls-energie.de,2
56,defense contractors,goallclear.com,2
27,biotech companies,biostrategic-partners.com,1
34,venture capital firms,hudsoncap.net,1
12,manufacturing in Baden-Württemberg,hoju-beschlag.de,2
14,pharmaceutical companies,epidbiomed.ru,1
66,customer relationship management (CRM) software,okdongdong.cn,1
66,customer relationship management (CRM) software,webflow.nl,2
82,public relations agencies,itpublicrelations.com,2
12,manufacturing in Baden-Württemberg,liebensteiner.de,0
66,customer relationship management (CRM) software,cellcorporacaotecnologica.com,2
2,healthcare providers,physicianshealthnetwork.org,2
4,renewable energy companies in Germany,solarplus-deutschland.de,2
34,venture capital firms,cosmicvp.com,2
72,managed service providers (MSPs),vikcloud.co.kr,2
11,tech companies in Munich,twobrains.com,2
72,managed service providers (MSPs),lapho.com,0
3,AI startups in Berlin,commandcomma.com,1
1,software companies,senovo.vc,1
3,AI startups in Berlin,tbd.investments,1
1,software companies,progrits.se,2
14,pharmaceutical companies,develco.ch,2
14,pharmaceutical companies,hololenstime.com,2
5,companies providing cloud migration services,juanjoseoane.com,1
3,AI startups in Berlin,societec.net,1
4,renewable energy companies in Germany,gpt-power.com,2
15,logistics companies in the US,jaklogisticsinc.com,2
4,renewable energy companies in Germany,german-sun.com,2
2,healthcare providers,carelike.com,2
5,companies providing cloud migration services,alandcloud.com,2
2,healthcare providers,zorgbeurs.nl,2
14,pharmaceutical companies,baiyaphytopharm.com,2
